doc_id,title,source_org,source_url,filename
SGG0045,Bulletin Officiel,SGG,,bo_0045.pdf
SGG0046,Bulletin Officiel,SGG,,bo_0046.pdf
SGG0047,Bulletin Officiel,SGG,,bo_0047.pdf
SGG0048,Bulletin Officiel,SGG,,bo_0048.pdf
SGG0049,Bulletin Officiel,SGG,,bo_0049.pdf
SGG0050,Bulletin Officiel,SGG,,bo_0050.pdf
SGG0051,Bulletin Officiel,SGG,,bo_0051.pdf
SGG0052,Bulletin Officiel,SGG,,bo_0052.pdf
SGG0053,Bulletin Officiel,SGG,,bo_0053.pdf
SGG0054,Bulletin Officiel,SGG,,bo_0054.pdf
SGG0055,Bulletin Officiel,SGG,,bo_0055.pdf
SGG0056,Bulletin Officiel,SGG,,bo_0056.pdf
SGG0057,Bulletin Officiel,SGG,,bo_0057.pdf
SGG0058,Bulletin Officiel,SGG,,bo_0058.pdf
SGG0059,Bulletin Officiel,SGG,,bo_0059.pdf
SGG0060,Bulletin Officiel,SGG,,bo_0060.pdf
SGG0061,Bulletin Officiel,SGG,,bo_0061.pdf
SGG0062,Bulletin Officiel,SGG,,bo_0062.pdf
SGG0063,Bulletin Officiel,SGG,,bo_0063.pdf
SGG0064,Bulletin Officiel,SGG,,bo_0064.pdf
SGG0065,Bulletin Officiel,SGG,,bo_0065.pdf
SGG0066,Bulletin Officiel,SGG,,bo_0066.pdf
SGG0067,Bulletin Officiel,SGG,,bo_0067.pdf
SGG0068,Bulletin Officiel,SGG,,bo_0068.pdf
SGG0069,Bulletin Officiel,SGG,,bo_0069.pdf
SGG0070,Bulletin Officiel,SGG,,bo_0070.pdf
SGG0071,Bulletin Officiel,SGG,,bo_0071.pdf
SGG0072,Bulletin Officiel,SGG,,bo_0072.pdf
SGG0073,Bulletin Officiel,SGG,,bo_0073.pdf
SGG0074,Bulletin Officiel,SGG,,bo_0074.pdf
SGG0075,Bulletin Officiel,SGG,,bo_0075.pdf
SGG0076,Bulletin Officiel,SGG,,bo_0076.pdf
SGG0077,Bulletin Officiel,SGG,,bo_0077.pdf
SGG0078,Bulletin Officiel,SGG,,bo_0078.pdf
SGG0079,Bulletin Officiel,SGG,,bo_0079.pdf
SGG0080,Bulletin Officiel,SGG,,bo_0080.pdf
SGG0081,Bulletin Officiel,SGG,,bo_0081.pdf
SGG0082,Bulletin Officiel,SGG,,bo_0082.pdf
SGG0083,Bulletin Officiel,SGG,,bo_0083.pdf
SGG0084,Bulletin Officiel,SGG,,bo_0084.pdf
SGG0085,Bulletin Officiel,SGG,,bo_0085.pdf
SGG0086,Bulletin Officiel,SGG,,bo_0086.pdf
SGG0087,Bulletin Officiel,SGG,,bo_0087.pdf
SGG0088,Bulletin Officiel,SGG,,bo_0088.pdf
SGG0089,Bulletin Officiel,SGG,,bo_0089.pdf
SGG0090,Bulletin Officiel,SGG,,bo_0090.pdf
SGG0091,Bulletin Officiel,SGG,,bo_0091.pdf
SGG0092,Bulletin Officiel,SGG,,bo_0092.pdf
SGG0093,Bulletin Officiel,SGG,,bo_0093.pdf
SGG0094,Bulletin Officiel,SGG,,bo_0094.pdf
SGG0095,Bulletin Officiel,SGG,,bo_0095.pdf
SGG0096,Bulletin Officiel,SGG,,bo_0096.pdf
SGG0097,Bulletin Officiel,SGG,,bo_0097.pdf
SGG0098,Bulletin Officiel,SGG,,bo_0098.pdf
SGG0099,Bulletin Officiel,SGG,,bo_0099.pdf
SGG0100,Bulletin Officiel,SGG,,bo_0100.pdf
SGG0101,Bulletin Officiel,SGG,,bo_0101.pdf
SGG0102,Bulletin Officiel,SGG,,bo_0102.pdf
SGG0103,Bulletin Officiel,SGG,,bo_0103.pdf
SGG0104,Bulletin Officiel,SGG,,bo_0104.pdf
SGG0105,Bulletin Officiel,SGG,,bo_0105.pdf
SGG0106,Bulletin Officiel,SGG,,bo_0106.pdf
SGG0107,Bulletin Officiel,SGG,,bo_0107.pdf
SGG0108,Bulletin Officiel,SGG,,bo_0108.pdf
SGG0109,Bulletin Officiel,SGG,,bo_0109.pdf
SGG0110,Bulletin Officiel,SGG,,bo_0110.pdf
SGG0111,Bulletin Officiel,SGG,,bo_0111.pdf
SGG0112,Bulletin Officiel,SGG,,bo_0112.pdf
SGG0113,Bulletin Officiel,SGG,,bo_0113.pdf
SGG0114,Bulletin Officiel,SGG,,bo_0114.pdf
SGG0115,Bulletin Officiel,SGG,,bo_0115.pdf
SGG0116,Bulletin Officiel,SGG,,bo_0116.pdf
SGG0117,Bulletin Officiel,SGG,,bo_0117.pdf
SGG0118,Bulletin Officiel,SGG,,bo_0118.pdf
SGG0119,Bulletin Officiel,SGG,,bo_0119.pdf
SGG0120,Bulletin Officiel,SGG,,bo_0120.pdf
SGG0121,Bulletin Officiel,SGG,,bo_0121.pdf
SGG0122,Bulletin Officiel,SGG,,bo_0122.pdf
SGG0123,Bulletin Officiel,SGG,,bo_0123.pdf
SGG0124,Bulletin Officiel,SGG,,bo_0124.pdf
SGG0125,Bulletin Officiel,SGG,,bo_0125.pdf
SGG0126,Bulletin Officiel,SGG,,bo_0126.pdf
SGG0127,Bulletin Officiel,SGG,,bo_0127.pdfar
SGG0128,Bulletin Officiel,SGG,,bo_0128.pdf
SGG0129,Bulletin Officiel,SGG,,bo_0129.pdf
SGG0130,Bulletin Officiel,SGG,,bo_0130.pdf

  /* cd "/Users/tahahakim/Desktop/rag-maroc2"
source .venv/bin/activate
python -m uvicorn webapp.main:app --host 127.0.0.1 --port 8001 //

Résume ce que disent les extraits sur l’article 2 d’un texte publié au Bulletin officiel.
Quels effets ou modalités sont mentionnés dans les passages indexés pour une mesure législative ou un décret ?
Les extraits parlent-ils de sanctions, délais ou conditions d’application d’un texte ? Cite les sources [n].
Y a-t-il des références à un code (pénal, des obligations et contrats, etc.) dans le corpus ? Que résument les extraits ?
Question ciblée document : Qu’est-ce que les extraits disent sur la publication ou l’entrée en vigueur de dispositions parues au BO ?
Watiqa / état civil / commande de documents
D’après le corpus, comment la plateforme WATIQA permet-elle de commander des documents administratifs et de les recevoir ?
Quelles étapes ou options (nouvelle demande, suivi de commande, etc.) sont décrites pour Watiqa ?
Que disent les extraits sur une demande d’acte d’état civil ou de copie / extrait ?
Sites consulat.ma / Maroc.ma (peu de chunks — questions précises)
Quels services ou informations pour les MRE ou le consulat apparaissent dans les extraits ?
Que mentionnent les passages sur Maroc.ma concernant les services en ligne ou l’administration ?
Enchaînements (historique de chat)
« Reprends la réponse précédente : quels points manquent encore selon les extraits ? »
« Cite uniquement ce qui est dans les passages [1] et [2]. »
Pour vérifier que le RAG « lit » bien le dataset
Après une réponse, regarde le panneau Sources : tu dois voir des chunk_id en SGG… pour les BO, ou www_watiqa… pour Watiqa.
Si tu poses une question consulat / Maroc.ma et qu’il n’y a aucune source, c’est normal si le retrieval ne remonte pas ces pages (peu de segments) — reformule avec mots-clés présents sur ces sites ou augmente k (passages).
Conseil : pour les sujets Watiqa / consulat, inclure les mots Watiqa, état civil, guichet, consulat, Maroc dans la question — ça aide le retrieval. 

cd "/Users/tahahakim/Desktop/rag-maroc2"
source .venv/bin/activate
python -m uvicorn webapp.main:app --host 127.0.0.1 --port 8001


kill $(lsof -t -i :8000) 2>/dev/null || true
./scripts/run_webapp.sh
